Entry	Entry name	Protein names	Gene ontology (biological process)
Q6IEL0	WRK71_ORYSI	WRKY transcription factor WRKY71 (OsWRKY71)	"defense response [GO:0006952]; gibberellic acid mediated signaling pathway [GO:0009740]; gibberellin metabolic process [GO:0009685]; negative regulation of gibberellic acid mediated signaling pathway [GO:0009938]; negative regulation of transcription, DNA-templated [GO:0045892]; regulation of defense response [GO:0031347]; regulation of transcription, DNA-templated [GO:0006355]; response to abscisic acid [GO:0009737]; response to bacterium [GO:0009617]; response to chitin [GO:0010200]; response to cold [GO:0009409]; response to ethylene [GO:0009723]; response to gibberellin [GO:0009739]; response to jasmonic acid [GO:0009753]; response to molecule of bacterial origin [GO:0002237]; response to molecule of fungal origin [GO:0002238]; response to parasitic fungus [GO:0009623]; response to salicylic acid [GO:0009751]; response to salt stress [GO:0009651]; response to water deprivation [GO:0009414]; response to wounding [GO:0009611]"
Q83QC1	MUTH_SHIFL	DNA mismatch repair protein MutH (Methyl-directed mismatch repair protein)	DNA modification [GO:0006304]; mismatch repair [GO:0006298]
Q95XX1	PNCB_CAEEL	Nicotinate phosphoribosyltransferase (NAPRTase) (EC 6.3.4.21)	NAD biosynthetic process [GO:0009435]; NAD salvage [GO:0034355]; nicotinate nucleotide salvage [GO:0019358]; response to oxidative stress [GO:0006979]
Q52RN5	SODC_BOSMU	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)	activation of MAPK activity [GO:0000187]; auditory receptor cell stereocilium organization [GO:0060088]; cell aging [GO:0007569]; cellular iron ion homeostasis [GO:0006879]; embryo implantation [GO:0007566]; glutathione metabolic process [GO:0006749]; heart contraction [GO:0060047]; hydrogen peroxide biosynthetic process [GO:0050665]; locomotory behavior [GO:0007626]; muscle cell cellular homeostasis [GO:0046716]; myeloid cell homeostasis [GO:0002262]; negative regulation of cholesterol biosynthetic process [GO:0045541]; negative regulation of neuron apoptotic process [GO:0043524]; neurofilament cytoskeleton organization [GO:0060052]; ovarian follicle development [GO:0001541]; peripheral nervous system myelin maintenance [GO:0032287]; positive regulation of catalytic activity [GO:0043085]; positive regulation of cytokine production [GO:0001819]; reactive oxygen species metabolic process [GO:0072593]; regulation of blood pressure [GO:0008217]; regulation of mitochondrial membrane potential [GO:0051881]; regulation of multicellular organism growth [GO:0040014]; regulation of protein kinase activity [GO:0045859]; relaxation of vascular smooth muscle [GO:0060087]; removal of superoxide radicals [GO:0019430]; response to axon injury [GO:0048678]; response to drug [GO:0042493]; response to ethanol [GO:0045471]; response to heat [GO:0009408]; response to hydrogen peroxide [GO:0042542]; response to organic substance [GO:0010033]; response to superoxide [GO:0000303]; retina homeostasis [GO:0001895]; sensory perception of sound [GO:0007605]; spermatogenesis [GO:0007283]; superoxide metabolic process [GO:0006801]; transmission of nerve impulse [GO:0019226]
A9A3K1	DNLI_NITMS	DNA ligase (EC 6.5.1.1) (Polydeoxyribonucleotide synthase [ATP])	DNA biosynthetic process [GO:0071897]; DNA ligation [GO:0006266]; DNA ligation involved in DNA repair [GO:0051103]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; cell cycle [GO:0007049]; cell division [GO:0051301]; lagging strand elongation [GO:0006273]
O14122	CUL4_SCHPO	Cullin-4 (Cul-4)	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]; cellular protein localization [GO:0034613]; cellular response to DNA damage stimulus [GO:0006974]; chromatin silencing at centromere [GO:0030702]; chromatin silencing at silent mating-type cassette [GO:0030466]; chromatin silencing at telomere [GO:0006348]; chromatin silencing by small RNA [GO:0031048]; heterochromatin assembly [GO:0031507]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of meiotic cell cycle [GO:0051446]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein ubiquitination [GO:0016567]; regulation of histone H3-K9 methylation [GO:0051570]; transcription-coupled nucleotide-excision repair [GO:0006283]; ubiquitin-dependent protein catabolic process [GO:0006511]
Q9V521	PPO2_DROME	Phenoloxidase 2 (PO A3) (EC 1.14.18.1) (Phenoloxidase subunit A3) (Processed phenoloxidase A3) (Pro-phenoloxidase A3)	defense response to Gram-positive bacterium [GO:0050830]; defense response to fungus [GO:0050832]; dopamine metabolic process [GO:0042417]; melanin biosynthetic process [GO:0042438]; melanization defense response [GO:0035006]; melanotic encapsulation of foreign target [GO:0035011]
A6U6K5	MUTL_SINMW	DNA mismatch repair protein MutL	mismatch repair [GO:0006298]
A0RPY7	DNLJ_CAMFF	DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)])	DNA repair [GO:0006281]; DNA replication [GO:0006260]
P14272	KLKB1_RAT	Plasma kallikrein (EC 3.4.21.34) (Fletcher factor) (Kininogenin) (Plasma prekallikrein) [Cleaved into: Plasma kallikrein heavy chain; Plasma kallikrein light chain]	blood coagulation [GO:0007596]; fibrinolysis [GO:0042730]; inflammatory response [GO:0006954]; liver regeneration [GO:0097421]
A4K2S4	WFD12_LEMCA	WAP four-disulfide core domain protein 12	defense response to bacterium [GO:0042742]
Q6NME7	TEN1_ARATH	CST complex subunit TEN1 (Protein MERISTEM DISORGANIZATION 1) (Protein telomeric pathways with STN1 homolog)	negative regulation of telomere maintenance via telomerase [GO:0032211]; response to heat [GO:0009408]; shoot system development [GO:0048367]; stem cell population maintenance [GO:0019827]; telomere maintenance [GO:0000723]
Q2KX20	MUTL_BORA1	DNA mismatch repair protein MutL	mismatch repair [GO:0006298]
Q05539	CHIA_SOLLC	Acidic 26 kDa endochitinase (EC 3.2.1.14)	cell wall macromolecule catabolic process [GO:0016998]; chitin catabolic process [GO:0006032]; defense response [GO:0006952]; polysaccharide catabolic process [GO:0000272]; response to biotic stimulus [GO:0009607]
Q9VIQ9	SICK_DROME	Protein sickie	actin filament organization [GO:0007015]; axonogenesis [GO:0007409]; defense response to Gram-negative bacterium [GO:0050829]; innate immune response [GO:0045087]; nervous system development [GO:0007399]
Q5L0E5	MUTS_GEOKA	DNA mismatch repair protein MutS	mismatch repair [GO:0006298]
Q9D5J6	SHPK_MOUSE	Sedoheptulokinase (SHK) (EC 2.7.1.14) (Carbohydrate kinase-like protein)	"carbohydrate metabolic process [GO:0005975]; cellular response to interleukin-13 [GO:0035963]; cellular response to interleukin-4 [GO:0071353]; cellular response to lipopolysaccharide [GO:0071222]; pentose-phosphate shunt, non-oxidative branch [GO:0009052]; phosphorylation [GO:0016310]; regulation of inflammatory response [GO:0050727]; regulation of macrophage activation [GO:0043030]"
O62664	PGH1_BOVIN	Prostaglandin G/H synthase 1 (EC 1.14.99.1) (Cyclooxygenase-1) (COX-1) (Prostaglandin H2 synthase 1) (PGH synthase 1) (PGHS-1) (PHS 1) (Prostaglandin-endoperoxide synthase 1)	cyclooxygenase pathway [GO:0019371]; inflammatory response [GO:0006954]; regulation of blood pressure [GO:0008217]; regulation of cell population proliferation [GO:0042127]; response to oxidative stress [GO:0006979]
Q689D1	TLR2_CANLF	Toll-like receptor 2 (CD antigen CD282)	MyD88-dependent toll-like receptor signaling pathway [GO:0002755]; cellular response to diacyl bacterial lipopeptide [GO:0071726]; cellular response to triacyl bacterial lipopeptide [GO:0071727]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; positive regulation of inflammatory response [GO:0050729]; regulation of cytokine secretion [GO:0050707]; toll-like receptor 2 signaling pathway [GO:0034134]; toll-like receptor signaling pathway [GO:0002224]
P15330	DORS_DROME	Embryonic polarity protein dorsal	I-kappaB kinase/NF-kappaB signaling [GO:0007249]; NIK/NF-kappaB signaling [GO:0038061]; Toll signaling pathway [GO:0008063]; dorsal/ventral axis specification [GO:0009950]; dorsal/ventral pattern formation [GO:0009953]; immune response [GO:0006955]; inflammatory response [GO:0006954]; melanization defense response [GO:0035006]; negative regulation of transcription by RNA polymerase II [GO:0000122]; peripheral nervous system neuron development [GO:0048935]; positive regulation of antimicrobial peptide production [GO:0002225]; positive regulation of hemocyte differentiation [GO:0045612]; positive regulation of hemocyte proliferation [GO:0035208]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of hemocyte proliferation [GO:0035206]; response to cytokine [GO:0034097]
Q58817	RFCS_METJA	Replication factor C small subunit (RFC small subunit) (Clamp loader small subunit) [Cleaved into: Mja RFC-1 intein; Mja RFC-2 intein; Mja RFC-3 intein]	DNA recombination [GO:0006310]; DNA repair [GO:0006281]; DNA-dependent DNA replication [GO:0006261]; intein-mediated protein splicing [GO:0016539]
Q3ECM0	PCEP2_ARATH	Precursor of CEP2 (PCEP2) [Cleaved into: C-terminally encoded peptide 2.1 (CEP2.1); C-terminally encoded peptide 2.2 (CEP2.2)]	cellular response to nitrogen starvation [GO:0006995]; nitrate import [GO:1902025]; regulation of leaf morphogenesis [GO:1901371]; regulation of root development [GO:2000280]; regulation of shoot system development [GO:0048831]; response to ammonium ion [GO:0060359]; response to nitrate starvation [GO:0090548]; response to osmotic stress [GO:0006970]; root development [GO:0048364]
Q62829	PAK3_RAT	Serine/threonine-protein kinase PAK 3 (EC 2.7.11.1) (Beta-PAK) (p21-activated kinase 3) (PAK-3) (p65-PAK)	activation of protein kinase activity [GO:0032147]; axonogenesis [GO:0007409]; cell migration [GO:0016477]; cellular response to organic cyclic compound [GO:0071407]; dendrite development [GO:0016358]; dendritic spine morphogenesis [GO:0060997]; intracellular signal transduction [GO:0035556]; positive regulation of DNA biosynthetic process [GO:2000573]; positive regulation of dendritic spine morphogenesis [GO:0061003]; positive regulation of fibroblast migration [GO:0010763]; positive regulation of neuron apoptotic process [GO:0043525]; protein phosphorylation [GO:0006468]; regulation of MAPK cascade [GO:0043408]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of actin filament polymerization [GO:0030833]; regulation of axonogenesis [GO:0050770]; regulation of neuron projection development [GO:0010975]; signal transduction by protein phosphorylation [GO:0023014]; stress-activated protein kinase signaling cascade [GO:0031098]
Q61990	PCBP2_MOUSE	Poly(rC)-binding protein 2 (Alpha-CP2) (CTBP) (CBP) (Putative heterogeneous nuclear ribonucleoprotein X) (hnRNP X)	IRES-dependent viral translational initiation [GO:0075522]; defense response to virus [GO:0051607]; innate immune response [GO:0045087]; negative regulation of defense response to virus [GO:0050687]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; viral RNA genome replication [GO:0039694]
P49933	PG4_PIG	Protegrin-4 (PG-4)	antimicrobial humoral immune response mediated by antimicrobial peptide [GO:0061844]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; innate immune response [GO:0045087]
Q9ZUX1	C94C1_ARATH	Cytochrome P450 94C1 (EC 1.14.14.49) (12-hydroxyjasmonoyl-L-amino acid 12-hydroxylase)	response to wounding [GO:0009611]
Q9SJQ9	ALFC6_ARATH	"Fructose-bisphosphate aldolase 6, cytosolic (AtFBA6) (EC 4.1.2.13) (Cytosolic aldolase 2) (cAld2)"	"fructose 1,6-bisphosphate metabolic process [GO:0030388]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]; mitochondria-nucleus signaling pathway [GO:0031930]; response to cadmium ion [GO:0046686]; response to cytokinin [GO:0009735]; response to salt stress [GO:0009651]"
O13016	PTN1_CHICK	Tyrosine-protein phosphatase non-receptor type 1 (EC 3.1.3.48) (CPTP1) (Protein-tyrosine phosphatase 1B) (PTP-1B)	actin cytoskeleton reorganization [GO:0031532]; endoplasmic reticulum unfolded protein response [GO:0030968]; peptidyl-tyrosine dephosphorylation [GO:0035335]; regulation of endocytosis [GO:0030100]; regulation of signal transduction [GO:0009966]
Q96CF2	CHM4C_HUMAN	Charged multivesicular body protein 4c (Chromatin-modifying protein 4c) (CHMP4c) (SNF7 homolog associated with Alix 3) (SNF7-3) (hSnf7-3) (Vacuolar protein sorting-associated protein 32-3) (Vps32-3) (hVps32-3)	abscission [GO:0009838]; endosomal transport [GO:0016197]; macroautophagy [GO:0016236]; midbody abscission [GO:0061952]; mitotic cytokinesis checkpoint [GO:0044878]; mitotic metaphase plate congression [GO:0007080]; multivesicular body assembly [GO:0036258]; negative regulation of cytokinesis [GO:0032466]; nucleus organization [GO:0006997]; positive regulation of viral release from host cell [GO:1902188]; protein transport [GO:0015031]; regulation of centrosome duplication [GO:0010824]; regulation of mitotic spindle assembly [GO:1901673]; regulation of viral process [GO:0050792]; ubiquitin-independent protein catabolic process via the multivesicular body sorting pathway [GO:0090611]; vacuolar transport [GO:0007034]; viral budding via host ESCRT complex [GO:0039702]; viral life cycle [GO:0019058]
P50392	PA24A_DANRE	Cytosolic phospholipase A2 (cPLA2) (Phospholipase A2 group IVA) [Includes: Phospholipase A2 (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase); Lysophospholipase (EC 3.1.1.5)]	glycerophospholipid catabolic process [GO:0046475]; inflammatory response to wounding [GO:0090594]; ovarian follicle development [GO:0001541]; regulation of G1/S transition of mitotic cell cycle [GO:2000045]; response to wounding [GO:0009611]
Q63707	PYRD_RAT	"Dihydroorotate dehydrogenase (quinone), mitochondrial (DHOdehase) (EC 1.3.5.2) (Dihydroorotate oxidase)"	'de novo' UMP biosynthetic process [GO:0044205]; 'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; female pregnancy [GO:0007565]; lactation [GO:0007595]; positive regulation of apoptotic process [GO:0043065]; pyrimidine ribonucleotide biosynthetic process [GO:0009220]; regulation of mitochondrial fission [GO:0090140]; response to L-arginine [GO:1903576]; response to caffeine [GO:0031000]; response to drug [GO:0042493]; response to organic cyclic compound [GO:0014070]; response to starvation [GO:0042594]
